height_diff,weight_diff,reach_diff,winner
-2.54,0,-5.08,0
-2.54,0,2.54,1
0,0,5.08,1
0,0,-10.16,1
-5.08,0,-2.54,1
0,0,-2.54,1
-10.16,0,-7.62,0
2.54,0,-2.54,1
7.62,0,7.62,1
-7.62,0,0,0
2.54,0,-2.54,1
-2.54,0,2.54,0
7.62,0,10.16,1
-5.08,4.54,-5.08,1
-2.54,0,-10.16,1
5.08,4.54,10.16,1
0,0,-2.54,0
-5.08,0,-10.16,1
-7.62,-9.07,-10.16,0
-2.54,0,7.62,1
7.62,4.54,10.16,0
0,0,-5.08,1
7.62,0,2.54,1
-2.54,0,0,1
2.54,0,-2.54,1
5.08,0,0,0
0,0,5.08,0
5.08,0,-5.08,0
-2.54,0,2.54,1
2.54,0,5.08,0
2.54,0,12.7,1
-10.16,0,-10.16,0
-10.16,-7.25,-17.78,0
7.62,0,5.08,1
-2.54,0,2.54,1
-7.62,0,-10.16,0
-2.54,16.78,-2.54,0
-5.08,0,-15.24,0
-5.08,0,0,0
2.54,9.08,5.08,1
7.62,0,7.62,0
2.54,0,0,1
-2.54,-6.81,2.54,1
-2.54,0,-10.16,0
0,0,2.54,0
7.62,6.8,10.16,1
-5.08,0,-7.62,0
7.62,4.54,17.78,1
2.54,0,2.54,1
-10.16,0,-2.54,0
-10.16,0,0,1
0,0,2.54,0
-2.54,0,-2.54,0
12.7,0,20.32,1
2.54,0,7.62,1
7.62,0,2.54,0
-2.54,-3.63,-7.62,0
0,0,2.54,0
7.62,0,7.62,0
5.08,0,-5.08,1
-5.08,0,2.54,1
0,0,2.54,1
0,0,-5.08,0
-7.62,-3.17,-7.62,1
-12.7,0,-12.7,0
2.54,15.87,-2.54,1
-5.08,0,-7.62,1
-5.08,0,2.54,0
-7.62,0,-5.08,0
2.54,4.53,2.54,0
-2.54,-3.63,10.16,1
2.54,0,0,0
-2.54,-4.54,-2.54,1
-10.16,0,-2.54,1
5.08,0,-2.54,0
-10.16,0,-20.32,0
-5.08,0,0,0
-2.54,-0.45,10.16,1
-7.62,0,-2.54,0
2.54,0,2.54,1
7.62,0,-2.54,1
2.54,0,12.7,1
12.7,0,12.7,0
2.54,0,0,0
-7.62,0,-5.08,1
7.62,0,2.54,1
7.62,0,5.08,1
-2.54,0,-5.08,1
5.08,0,0,1
-10.16,0,-15.24,0
10.16,0,5.08,0
5.08,0,5.08,0
0,0,7.62,1
0,9.08,-2.54,0
-2.54,0,-7.62,1
2.54,0,2.54,1
7.62,0,20.32,1
5.08,-4.54,-10.16,0
2.54,6.8,10.16,0
2.54,0,0,0
-2.54,0,5.08,0
5.08,0,7.62,0
10.16,0,7.62,1
-10.16,-4.54,-15.24,0
-5.08,0,10.16,0
-7.62,0,0,0
5.08,0,2.54,1
-2.54,0,5.08,1
2.54,0,10.16,0
10.16,-6.8,12.7,0
-2.54,0,-7.62,1
-2.54,0,-7.62,0
2.54,0,7.62,1
0,0,-5.08,1
2.54,0,0,1
5.08,0,-5.08,1
7.62,0,-2.54,1
-2.54,-6.8,0,1
-5.08,0,-12.7,1
-5.08,0,-5.08,1
-5.08,0,-2.54,1
-2.54,0,-5.08,1
15.24,0,25.4,0
0,0,5.08,1
0,0,7.62,1
2.54,0,12.7,1
0,0,-2.54,1
0,0,-10.16,1
7.62,0,5.08,0
2.54,0,-2.54,0
12.7,-5.44,12.7,1
-5.08,0,-5.08,1
7.62,0,2.54,1
-5.08,0,-2.54,1
-2.54,-0.46,2.54,1
-7.62,0,-7.62,0
-5.08,0,7.62,0
5.08,0,-2.54,1
2.54,0,0,1
7.62,0,7.62,0
0,0,-2.54,1
0,1.36,7.62,1
-5.08,0,-5.08,0
-12.7,0,-17.78,1
-2.54,0,-10.16,1
2.54,0,-12.7,1
0,0,2.54,0
2.54,0,5.08,0
2.54,0,-5.08,0
7.62,0,7.62,1
5.08,0,7.62,0
10.16,0,15.24,0
5.08,0,2.54,0
-2.54,0,0,0
-2.54,0,7.62,0
-7.62,2.27,-10.16,1
-5.08,-4.54,-5.08,1
0,0,-7.62,1
5.08,0,12.7,0
2.54,0,5.08,1
2.54,0,2.54,1
-5.08,0,7.62,1
5.08,0,2.54,1
-5.08,0,-10.16,0
-7.62,-4.54,-10.16,0
0,0,2.54,0
2.54,27.21,5.08,0
-12.7,0,-2.54,0
-2.54,4.54,-2.54,0
0,0,-7.62,1
2.54,0,-2.54,0
5.08,0,12.7,1
2.54,0,5.08,0
-7.62,0,-25.4,1
7.62,0,5.08,1
